customer_id,order_id,customer_segment,location_type,product_category,payment_method,payment_status,shipping_method,actual_delivery_days,delivery_status,customer_review_score,product_returned,fraud_flag,total_order_value_usd
CUST-ECCDF2D1,ORD-000361EC,Standard,Suburban,Groceries,Digital Wallet,Success,Standard,7.4,Late,4,No,No,435.96
CUST-8EBD90BF,ORD-00053ED2,Premium,Suburban,Home,Digital Wallet,Success,Express,1.3,On Time,5,No,No,129.56
CUST-0026A1B6,ORD-000ED9A3,Standard,Suburban,Toys,Bank Transfer,Success,Standard,2.7,On Time,5,No,No,48.37
CUST-80DC1873,ORD-001333AF,Standard,Urban,Home,Credit Card,Success,Standard,3.6,On Time,4,No,No,565.93
CUST-D07C2998,ORD-001EBEAA,Standard,Rural,Electronics,Credit Card,Failed,Standard,4.2,Cancelled,4,No,No,2569.09
CUST-06427709,ORD-001EE966,Premium,Urban,Toys,Digital Wallet,Success,Express,2.0,On Time,5,No,No,22.85
CUST-D9E7924D,ORD-0023F780,Standard,Rural,Toys,Digital Wallet,Success,Standard,4.0,On Time,5,No,No,34.82
CUST-EAC2F230,ORD-0026F3CA,Premium,Suburban,Home,Digital Wallet,Success,Express,5.3,Late,4,No,No,1117.2
CUST-21C957E8,ORD-0028E1E6,Standard,Urban,Electronics,Credit Card,Success,Standard,1.7,On Time,5,No,No,1348.69
CUST-39FBB367,ORD-002ABC2C,VIP,Rural,Home,Credit Card,Success,Express,2.5,On Time,5,No,No,37.19
CUST-584031CC,ORD-002E7CBC,Premium,Urban,Clothing,Credit Card,Success,Express,1.6,On Time,5,No,No,218.64
CUST-59C35AE2,ORD-003085E5,Premium,Urban,Electronics,Digital Wallet,Failed,Standard,3.4,Cancelled,4,No,No,574.3
CUST-DADD6842,ORD-003386A8,Standard,Suburban,Electronics,Digital Wallet,Success,Standard,2.7,On Time,5,No,No,937.01
CUST-E1E66817,ORD-00379796,Standard,Suburban,Home,Bank Transfer,Success,Standard,7.2,Late,3,No,No,175.27
CUST-BF450EFC,ORD-0037ED57,Standard,Suburban,Clothing,Bank Transfer,Success,Standard,2.8,On Time,4,No,No,21.27
